# theta phi
-1.106809002572655203e+02 1.233898554971975301e+02
-1.213395898383012366e+02 5.334435405862924284e+01
1.407882841919079908e+02 1.232775941579917856e+02
-2.608670646490746492e+01 5.214406490441616882e+01
-1.370624435910677050e+02 1.219656545334327120e+02
-1.434337692010017236e+02 1.236079751781626612e+02
4.044841876639635103e+01 5.766612125628731889e+01
-5.816714918668804302e+01 5.815188247602243621e+01
3.609954210164252686e+01 1.238475785962675104e+02
-1.421569681423375755e+02 5.800187802883424126e+01
-1.307140638979349490e+02 5.454617278059872376e+01
-5.060576861025051443e+01 1.235525446109170673e+02
-3.859240339201932812e+01 1.245818466723632127e+02
1.266059444901250686e+02 6.051882479248140356e+01
-1.288044127817175877e+02 1.199971966479869820e+02
9.453559012127067263e+01 8.881024141258890836e+01
-2.972482522769579560e+01 1.198323814795395066e+02
5.086351238811543141e+01 5.758750062296012118e+01
3.282134334473238368e+01 6.077157077421364306e+01
-3.972590927234270453e+01 1.218837641641590608e+02
-1.413854042634582981e+02 1.195534135605610970e+02
1.267387101451407148e+02 1.216056015273905189e+02
-1.331370669477967965e+02 1.224488246878546818e+02
3.847214258791673558e+01 5.597827747791468056e+01
-1.202889924449092547e+02 5.962957093084789761e+01
-5.730066129063870761e+01 5.110209486972242132e+01
-3.092131717980904071e+01 6.064930824042829016e+01
5.928302243175241415e+01 5.969783007276252818e+01
-5.213940582054883777e+01 5.541472746267740490e+01
5.508645773124295886e+01 1.216576883825617301e+02
-1.352785511780237471e+02 5.428350272759556816e+01
-2.764476251251923955e+01 5.412102383248119963e+01
-3.457732555815977804e+01 1.228491306106454743e+02
1.269478303227292173e+02 5.680521218825955287e+01
3.664598000767665553e+01 5.859798270649423557e+01
-1.490273001357229532e+02 6.216961209877252514e+01
-6.413516065879008465e+01 5.513013252598450009e+01
1.172751833534689752e+02 1.240592877703585657e+02
1.288875755419695679e+02 1.206705707781727739e+02
-4.704796865351716662e+01 1.233364358483125471e+02
5.963717517043600935e+01 1.232062133902309569e+02
-6.882351921611105183e+01 1.163107928120355723e+02
-1.335574699402409635e+02 6.038777850415654314e+01
-1.251030047729955754e+02 1.234315917083588374e+02
8.688699163844694340e+01 9.259110786804966153e+01
-1.333404701558906140e+02 1.230956654750299890e+02
5.575200099313165225e+01 1.235647313688093192e+02
-1.303266654904955146e+02 1.251243389244426680e+02
-1.171351983506084764e+02 1.221876206816612438e+02
4.538112574701406743e+01 5.779998372849659916e+01
4.965943696859034162e+01 1.291285217672757710e+02
3.886577542869213886e+01 5.632848902742233577e+01
-2.383873233462676566e+01 1.226268879732302395e+02
-6.494904133278403435e+01 1.245316325868685254e+02
1.568588061116647623e+02 5.668206180660391880e+01
1.491299486255010720e+02 1.203856458427364515e+02
1.756259859632550899e+02 9.410321571409799901e+01
1.518011517571834474e+02 1.237638171435301331e+02
-6.735944389827017176e+01 1.214749704707732576e+02
-1.351759903035581658e+02 5.562526788464910510e+01
5.259731605505282914e+01 5.839722319638652692e+01
5.240767623100644101e+01 1.244492958514130407e+02
4.125491296985526901e+01 5.772828813476507293e+01
-2.995933408624181027e+01 5.436858711536331867e+01
-1.429657661027246149e+02 1.244032075867898044e+02
1.443974825297757718e+02 1.212611208742682720e+02
-7.364215740015104927e+01 5.057171900081067406e+01
-1.349723255973810012e+02 1.229717053997801770e+02
5.328691271058120549e+01 5.741138376279762667e+01
-1.449437704422716990e+02 5.390016736045957657e+01
-7.630334855378856673e+01 8.129990593670110854e+01
-2.935055207192884552e+01 5.952893222844019050e+01
1.531023902286775353e+02 1.201675763643877843e+02
-1.339787462452490558e+02 1.198364026719139304e+02
-1.355318990666509933e+02 1.236562638705575807e+02
-1.387635468198658941e+02 1.194024716715607184e+02
-1.476437953719148766e+02 5.760588919404772668e+01
1.310831117489017856e+02 1.220371780881348514e+02
-1.414823574474914381e+02 5.958636704915792848e+01
5.073929839936450747e+01 5.257977411931750567e+01
-3.759271270205731241e+01 5.477524851661328142e+01
-1.313938010105473495e+02 5.948422008949648188e+01
