# itime ezz other fcc hcp bcc cubicDiamond hexDiamond
7.810000000000000000e+06 3.903408694530424161e-01 3.106593406593406437e-01 3.375641025641025750e-01 3.517765567765567813e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.910000000000000000e+06 3.953388319300339959e-01 3.108791208791208960e-01 3.394139194139194071e-01 3.497069597069596969e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.010000000000000000e+06 4.003367944070255757e-01 3.131501831501831701e-01 3.358608058608058555e-01 3.509890109890109744e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.110000000000000000e+06 4.053347568840171555e-01 3.090476190476190710e-01 3.340109890109890234e-01 3.569413919413919611e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.210000000000000000e+06 4.103327193610087353e-01 3.071245421245420992e-01 3.305311355311355559e-01 3.623443223443223449e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.310000000000000000e+06 4.153306818380003151e-01 3.016300366300366242e-01 3.349084249084249287e-01 3.634615384615384470e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.410000000000000000e+06 4.203286443149918949e-01 2.820695970695970556e-01 3.593223443223443336e-01 3.586080586080586108e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.510000000000000000e+06 4.253266067919834748e-01 2.853479853479853334e-01 3.450183150183150360e-01 3.696336996336996306e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.610000000000000000e+06 4.303245692689750546e-01 2.859340659340659507e-01 3.489560439560439598e-01 3.651098901098900895e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.710000000000000000e+06 4.353225317459666344e-01 2.985164835164835218e-01 3.420879120879120605e-01 3.593956043956044177e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.810000000000000000e+06 4.403204942229582142e-01 2.967582417582417809e-01 3.332051282051282093e-01 3.700366300366300099e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.910000000000000000e+06 4.453184566999497940e-01 3.046336996336996283e-01 3.257875457875457625e-01 3.695787545787545536e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.010000000000000000e+06 4.503164191769413738e-01 3.100183150183150049e-01 3.208608058608058422e-01 3.691208791208790974e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.110000000000000000e+06 4.553143816539329536e-01 3.090659340659340781e-01 3.134065934065933812e-01 3.775274725274725407e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
